[2018-06-07, 21:23:00.0537 UTC] -> Thu, 07 Jun 2018 21:23:00 GMT GET / Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:23:00.0580 UTC] -> Thu, 07 Jun 2018 21:23:00 GMT GET /vendor/bootstrap/css/bootstrap.min.css Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:23:00.0581 UTC] -> Thu, 07 Jun 2018 21:23:00 GMT GET /css/heroic-features.css Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:23:00.0587 UTC] -> Thu, 07 Jun 2018 21:23:00 GMT GET /vendor/jquery/jquery.min.js Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:23:00.0592 UTC] -> Thu, 07 Jun 2018 21:23:00 GMT GET /vendor/bootstrap/js/bootstrap.bundle.min.js Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:23:00.0596 UTC] -> Thu, 07 Jun 2018 21:23:00 GMT GET /images/aviso1_banner.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:23:00.0600 UTC] -> Thu, 07 Jun 2018 21:23:00 GMT GET /images/aviso2_banner.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:23:00.0604 UTC] -> Thu, 07 Jun 2018 21:23:00 GMT GET /images/500x325.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:23:00.0771 UTC] -> Thu, 07 Jun 2018 21:23:00 GMT GET /favicon.ico Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:26:36.0207 UTC] -> Thu, 07 Jun 2018 21:26:36 GMT GET / Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:26:36.0240 UTC] -> Thu, 07 Jun 2018 21:26:36 GMT GET /vendor/bootstrap/css/bootstrap.min.css Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:26:36.0241 UTC] -> Thu, 07 Jun 2018 21:26:36 GMT GET /css/heroic-features.css Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:26:36.0244 UTC] -> Thu, 07 Jun 2018 21:26:36 GMT GET /vendor/jquery/jquery.min.js Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:26:36.0248 UTC] -> Thu, 07 Jun 2018 21:26:36 GMT GET /vendor/bootstrap/js/bootstrap.bundle.min.js Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:26:36.0252 UTC] -> Thu, 07 Jun 2018 21:26:36 GMT GET /images/aviso1_banner.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:26:36.0256 UTC] -> Thu, 07 Jun 2018 21:26:36 GMT GET /images/aviso2_banner.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:26:36.0260 UTC] -> Thu, 07 Jun 2018 21:26:36 GMT GET /images/500x325.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:26:36.0303 UTC] -> Thu, 07 Jun 2018 21:26:36 GMT GET /favicon.ico Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:28:25.0438 UTC] -> Thu, 07 Jun 2018 21:28:25 GMT GET / Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:33:02.0157 UTC] -> Thu, 07 Jun 2018 21:33:02 GMT GET / Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:33:31.0774 UTC] -> Thu, 07 Jun 2018 21:33:31 GMT GET / Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:33:31.0817 UTC] -> Thu, 07 Jun 2018 21:33:31 GMT GET /vendor/bootstrap/css/bootstrap.min.css Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:33:31.0819 UTC] -> Thu, 07 Jun 2018 21:33:31 GMT GET /css/heroic-features.css Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:33:31.0828 UTC] -> Thu, 07 Jun 2018 21:33:31 GMT GET /vendor/jquery/jquery.min.js Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:33:31.0832 UTC] -> Thu, 07 Jun 2018 21:33:31 GMT GET /vendor/bootstrap/js/bootstrap.bundle.min.js Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:33:31.0836 UTC] -> Thu, 07 Jun 2018 21:33:31 GMT GET /images/aviso1_banner.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:33:31.0839 UTC] -> Thu, 07 Jun 2018 21:33:31 GMT GET /images/aviso2_banner.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:33:31.0844 UTC] -> Thu, 07 Jun 2018 21:33:31 GMT GET /images/500x325.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:33:31.0896 UTC] -> Thu, 07 Jun 2018 21:33:31 GMT GET /favicon.ico Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:44:08.0955 UTC] -> Thu, 07 Jun 2018 21:44:08 GMT GET / Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:44:08.0973 UTC] -> Thu, 07 Jun 2018 21:44:08 GMT GET /vendor/bootstrap/css/bootstrap.min.css Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:44:08.0974 UTC] -> Thu, 07 Jun 2018 21:44:08 GMT GET /css/heroic-features.css Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:44:08.0975 UTC] -> Thu, 07 Jun 2018 21:44:08 GMT GET /images/aviso1_banner.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:44:08.0975 UTC] -> Thu, 07 Jun 2018 21:44:08 GMT GET /images/aviso2_banner.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:44:08.0976 UTC] -> Thu, 07 Jun 2018 21:44:08 GMT GET /images/500x325.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:44:10.0121 UTC] -> Thu, 07 Jun 2018 21:44:10 GMT GET / Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:44:10.0149 UTC] -> Thu, 07 Jun 2018 21:44:10 GMT GET /vendor/bootstrap/css/bootstrap.min.css Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:44:10.0151 UTC] -> Thu, 07 Jun 2018 21:44:10 GMT GET /css/heroic-features.css Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:44:10.0160 UTC] -> Thu, 07 Jun 2018 21:44:10 GMT GET /vendor/jquery/jquery.min.js Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:44:10.0166 UTC] -> Thu, 07 Jun 2018 21:44:10 GMT GET /vendor/bootstrap/js/bootstrap.bundle.min.js Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:44:10.0170 UTC] -> Thu, 07 Jun 2018 21:44:10 GMT GET /images/aviso1_banner.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:44:10.0174 UTC] -> Thu, 07 Jun 2018 21:44:10 GMT GET /images/aviso2_banner.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:44:10.0179 UTC] -> Thu, 07 Jun 2018 21:44:10 GMT GET /images/500x325.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-07, 21:44:10.0221 UTC] -> Thu, 07 Jun 2018 21:44:10 GMT GET /favicon.ico Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
