[2018-06-08, 16:25:55.0447 UTC] -> Fri, 08 Jun 2018 16:25:55 GMT GET / Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:25:55.0465 UTC] -> Fri, 08 Jun 2018 16:25:55 GMT GET /vendor/bootstrap/css/bootstrap.min.css Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:25:55.0466 UTC] -> Fri, 08 Jun 2018 16:25:55 GMT GET /css/heroic-features.css Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:25:55.0470 UTC] -> Fri, 08 Jun 2018 16:25:55 GMT GET /vendor/jquery/jquery.min.js Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:25:55.0473 UTC] -> Fri, 08 Jun 2018 16:25:55 GMT GET /vendor/bootstrap/js/bootstrap.bundle.min.js Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:25:55.0476 UTC] -> Fri, 08 Jun 2018 16:25:55 GMT GET /images/aviso1_banner.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:25:55.0480 UTC] -> Fri, 08 Jun 2018 16:25:55 GMT GET /images/aviso2_banner.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:25:55.0484 UTC] -> Fri, 08 Jun 2018 16:25:55 GMT GET /images/500x325.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:25:55.0528 UTC] -> Fri, 08 Jun 2018 16:25:55 GMT GET /favicon.ico Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:27:50.0523 UTC] -> Fri, 08 Jun 2018 16:27:50 GMT GET / Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:27:50.0567 UTC] -> Fri, 08 Jun 2018 16:27:50 GMT GET /vendor/bootstrap/css/bootstrap.min.css Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:27:50.0568 UTC] -> Fri, 08 Jun 2018 16:27:50 GMT GET /css/heroic-features.css Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:27:50.0575 UTC] -> Fri, 08 Jun 2018 16:27:50 GMT GET /vendor/jquery/jquery.min.js Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:27:50.0582 UTC] -> Fri, 08 Jun 2018 16:27:50 GMT GET /vendor/bootstrap/js/bootstrap.bundle.min.js Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:27:50.0585 UTC] -> Fri, 08 Jun 2018 16:27:50 GMT GET /images/aviso1_banner.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:27:50.0588 UTC] -> Fri, 08 Jun 2018 16:27:50 GMT GET /images/aviso2_banner.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:27:50.0593 UTC] -> Fri, 08 Jun 2018 16:27:50 GMT GET /images/500x325.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:27:50.0635 UTC] -> Fri, 08 Jun 2018 16:27:50 GMT GET /favicon.ico Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:28:49.0418 UTC] -> Fri, 08 Jun 2018 16:28:49 GMT GET / Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:28:49.0799 UTC] -> Fri, 08 Jun 2018 16:28:49 GMT GET /vendor/bootstrap/css/bootstrap.min.css Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:28:49.0817 UTC] -> Fri, 08 Jun 2018 16:28:49 GMT GET /css/heroic-features.css Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:28:49.0821 UTC] -> Fri, 08 Jun 2018 16:28:49 GMT GET /vendor/jquery/jquery.min.js Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:28:49.0826 UTC] -> Fri, 08 Jun 2018 16:28:49 GMT GET /vendor/bootstrap/js/bootstrap.bundle.min.js Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:28:49.0830 UTC] -> Fri, 08 Jun 2018 16:28:49 GMT GET /images/aviso1_banner.png Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:28:49.0864 UTC] -> Fri, 08 Jun 2018 16:28:49 GMT GET /images/500x325.png Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:28:49.0875 UTC] -> Fri, 08 Jun 2018 16:28:49 GMT GET /images/aviso2_banner.png Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:28:50.0293 UTC] -> Fri, 08 Jun 2018 16:28:50 GMT GET /favicon.ico Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:42:24.0772 UTC] -> Fri, 08 Jun 2018 16:42:24 GMT GET / Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:42:24.0798 UTC] -> Fri, 08 Jun 2018 16:42:24 GMT GET /vendor/bootstrap/css/bootstrap.min.css Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:42:24.0803 UTC] -> Fri, 08 Jun 2018 16:42:24 GMT GET /css/heroic-features.css Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:42:24.0806 UTC] -> Fri, 08 Jun 2018 16:42:24 GMT GET /vendor/jquery/jquery.min.js Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:42:24.0809 UTC] -> Fri, 08 Jun 2018 16:42:24 GMT GET /vendor/bootstrap/js/bootstrap.bundle.min.js Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:42:24.0812 UTC] -> Fri, 08 Jun 2018 16:42:24 GMT GET /images/aviso1_banner.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:42:24.0815 UTC] -> Fri, 08 Jun 2018 16:42:24 GMT GET /images/aviso2_banner.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:42:24.0819 UTC] -> Fri, 08 Jun 2018 16:42:24 GMT GET /images/500x325.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:42:24.0984 UTC] -> Fri, 08 Jun 2018 16:42:24 GMT GET /favicon.ico Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:42:29.0021 UTC] -> Fri, 08 Jun 2018 16:42:29 GMT GET / Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:42:29.0048 UTC] -> Fri, 08 Jun 2018 16:42:29 GMT GET /vendor/bootstrap/css/bootstrap.min.css Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:42:29.0051 UTC] -> Fri, 08 Jun 2018 16:42:29 GMT GET /css/heroic-features.css Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:42:29.0057 UTC] -> Fri, 08 Jun 2018 16:42:29 GMT GET /vendor/jquery/jquery.min.js Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:42:29.0064 UTC] -> Fri, 08 Jun 2018 16:42:29 GMT GET /vendor/bootstrap/js/bootstrap.bundle.min.js Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:42:29.0068 UTC] -> Fri, 08 Jun 2018 16:42:29 GMT GET /images/aviso1_banner.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:42:29.0071 UTC] -> Fri, 08 Jun 2018 16:42:29 GMT GET /images/aviso2_banner.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:42:29.0076 UTC] -> Fri, 08 Jun 2018 16:42:29 GMT GET /images/500x325.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:42:29.0122 UTC] -> Fri, 08 Jun 2018 16:42:29 GMT GET /favicon.ico Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:42:39.0318 UTC] -> Fri, 08 Jun 2018 16:42:39 GMT GET / Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:42:39.0577 UTC] -> Fri, 08 Jun 2018 16:42:39 GMT GET /favicon.ico Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:42:41.0707 UTC] -> Fri, 08 Jun 2018 16:42:41 GMT GET / Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:42:41.0852 UTC] -> Fri, 08 Jun 2018 16:42:41 GMT GET /favicon.ico Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:42:43.0641 UTC] -> Fri, 08 Jun 2018 16:42:43 GMT GET / Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:42:43.0788 UTC] -> Fri, 08 Jun 2018 16:42:43 GMT GET /favicon.ico Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:42:46.0479 UTC] -> Fri, 08 Jun 2018 16:42:46 GMT GET / Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:42:46.0618 UTC] -> Fri, 08 Jun 2018 16:42:46 GMT GET /favicon.ico Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:45:36.0814 UTC] -> Fri, 08 Jun 2018 16:45:36 GMT GET / Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:45:37.0006 UTC] -> Fri, 08 Jun 2018 16:45:37 GMT GET /favicon.ico Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:45:42.0211 UTC] -> Fri, 08 Jun 2018 16:45:42 GMT GET / Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:45:42.0351 UTC] -> Fri, 08 Jun 2018 16:45:42 GMT GET /favicon.ico Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:47:11.0575 UTC] -> Fri, 08 Jun 2018 16:47:11 GMT GET / Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:47:11.0730 UTC] -> Fri, 08 Jun 2018 16:47:11 GMT GET /favicon.ico Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:47:56.0694 UTC] -> Fri, 08 Jun 2018 16:47:56 GMT GET / Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:47:56.0873 UTC] -> Fri, 08 Jun 2018 16:47:56 GMT GET /favicon.ico Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:49:38.0046 UTC] -> Fri, 08 Jun 2018 16:49:38 GMT GET / Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:49:38.0368 UTC] -> Fri, 08 Jun 2018 16:49:38 GMT GET /favicon.ico Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:49:43.0320 UTC] -> Fri, 08 Jun 2018 16:49:43 GMT GET / Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:49:43.0460 UTC] -> Fri, 08 Jun 2018 16:49:43 GMT GET /favicon.ico Mozilla/5.0 (Linux; Android 7.0; SM-P580 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.68 Safari/537.36
[2018-06-08, 16:51:14.0324 UTC] -> Fri, 08 Jun 2018 16:51:14 GMT GET / Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:51:14.0382 UTC] -> Fri, 08 Jun 2018 16:51:14 GMT GET /vendor/bootstrap/css/bootstrap.min.css Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:51:14.0384 UTC] -> Fri, 08 Jun 2018 16:51:14 GMT GET /css/heroic-features.css Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:51:14.0391 UTC] -> Fri, 08 Jun 2018 16:51:14 GMT GET /vendor/jquery/jquery.min.js Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:51:14.0407 UTC] -> Fri, 08 Jun 2018 16:51:14 GMT GET /vendor/bootstrap/js/bootstrap.bundle.min.js Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:51:14.0410 UTC] -> Fri, 08 Jun 2018 16:51:14 GMT GET /images/aviso1_banner.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:51:14.0413 UTC] -> Fri, 08 Jun 2018 16:51:14 GMT GET /images/aviso2_banner.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:51:14.0418 UTC] -> Fri, 08 Jun 2018 16:51:14 GMT GET /images/500x325.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:51:14.0574 UTC] -> Fri, 08 Jun 2018 16:51:14 GMT GET /favicon.ico Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:51:34.0252 UTC] -> Fri, 08 Jun 2018 16:51:34 GMT GET / Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:51:34.0326 UTC] -> Fri, 08 Jun 2018 16:51:34 GMT GET /vendor/bootstrap/css/bootstrap.min.css Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:51:34.0329 UTC] -> Fri, 08 Jun 2018 16:51:34 GMT GET /css/heroic-features.css Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:51:34.0337 UTC] -> Fri, 08 Jun 2018 16:51:34 GMT GET /vendor/jquery/jquery.min.js Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:51:34.0345 UTC] -> Fri, 08 Jun 2018 16:51:34 GMT GET /vendor/bootstrap/js/bootstrap.bundle.min.js Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:51:34.0350 UTC] -> Fri, 08 Jun 2018 16:51:34 GMT GET /images/aviso1_banner.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:51:34.0353 UTC] -> Fri, 08 Jun 2018 16:51:34 GMT GET /images/aviso2_banner.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:51:34.0357 UTC] -> Fri, 08 Jun 2018 16:51:34 GMT GET /images/500x325.png Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
[2018-06-08, 16:51:34.0517 UTC] -> Fri, 08 Jun 2018 16:51:34 GMT GET /favicon.ico Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.181 Safari/537.36
