[2018-06-23, 05:58:31.0037 UTC] -> Sat, 23 Jun 2018 05:58:31 GMT GET / Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:58:31.0104 UTC] -> Sat, 23 Jun 2018 05:58:31 GMT GET /vendor/bootstrap/css/bootstrap.min.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:58:31.0106 UTC] -> Sat, 23 Jun 2018 05:58:31 GMT GET /css/heroic-features.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:58:31.0118 UTC] -> Sat, 23 Jun 2018 05:58:31 GMT GET /images/aviso1_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:58:31.0140 UTC] -> Sat, 23 Jun 2018 05:58:31 GMT GET /images/aviso2_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:58:31.0244 UTC] -> Sat, 23 Jun 2018 05:58:31 GMT GET /vendor/jquery/jquery.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:58:31.0245 UTC] -> Sat, 23 Jun 2018 05:58:31 GMT GET /vendor/bootstrap/js/bootstrap.bundle.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:58:31.0270 UTC] -> Sat, 23 Jun 2018 05:58:31 GMT GET /images/500x325.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:58:31.0374 UTC] -> Sat, 23 Jun 2018 05:58:31 GMT GET /favicon.ico Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:03.0162 UTC] -> Sat, 23 Jun 2018 05:59:03 GMT GET / Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
[2018-06-23, 05:59:03.0195 UTC] -> Sat, 23 Jun 2018 05:59:03 GMT GET /vendor/bootstrap/css/bootstrap.min.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36
