[2018-06-30, 02:30:24.0744 UTC] -> Sat, 30 Jun 2018 02:30:24 GMT GET /403.html Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 02:30:24.0741 UTC] -> Rejecting request from 192.168.1.6, path and query was undefined
[2018-06-30, 02:30:24.0981 UTC] -> Rejecting request from 192.168.1.6, path and query was undefined
[2018-06-30, 02:30:24.0983 UTC] -> Sat, 30 Jun 2018 02:30:24 GMT GET /403.html Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:47:17.0476 UTC] -> Sat, 30 Jun 2018 03:47:17 GMT GET / Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:47:17.0700 UTC] -> Sat, 30 Jun 2018 03:47:17 GMT GET /vendor/bootstrap/css/bootstrap.min.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:47:17.0731 UTC] -> Sat, 30 Jun 2018 03:47:17 GMT GET /css/heroic-features.css Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:47:17.0743 UTC] -> Sat, 30 Jun 2018 03:47:17 GMT GET /images/aviso1_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:47:17.0871 UTC] -> Sat, 30 Jun 2018 03:47:17 GMT GET /images/aviso2_banner.png Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:47:17.0934 UTC] -> Sat, 30 Jun 2018 03:47:17 GMT GET /vendor/jquery/jquery.min.js Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
[2018-06-30, 03:47:17.0936 UTC] -> Sat, 30 Jun 2018 03:47:17 GMT GET / Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36
